Note: modified from pivot table because a few bands existed under both P and 1+ categories. P is retained,,,,,,,,,,CURRENT VERSION: 12/07/2025,,,,,,,
Age,Band,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
P,162-87223,,,,,,,,,1,,,,,,,
P,162-87224,,,,,,,,,1,,,,,,,
P,162-87225,,,,,,,,,1,,,,,,,
P,162-87226,,,,,,,,,1,,,,,,,
P,162-87235,,,,,,,,,1,,,,,,,
P,162-87236,,,,,,,,,1,,,,,,,
P,162-87237,,,,,,,,,1,,,,,,,
P,162-87238,,,,,,,,,1,,,,,,,
P,162-87239,,,,,,,,,1,,,,,,,
P,162-87240,,,,,,,,,1,,,,,,,
P,162-87241,,,,,,,,,1,,,,,,,
P,162-87242,,,,,,,,,1,,,,,,,
P,162-87243,,,,,,,,,1,,,,,,,
P,162-87244,,,,,,,,,1,,,,,,,
P,162-87245,,,,,,,,,1,,,,,,,
P,162-87246,,,,,,,,,1,,,,,,,
P,162-87247,,,,,,,,,1,,,,,,,
P,162-87248,,,,,,,,,1,,,,,,,
P,162-87249,,,,,,,,,1,,,,,,,
P,162-87250,,,,,,,,,1,,,,,,,
P,162-87251,,,,,,,,,1,,,,,,,
P,162-87252,,,,,,,,,1,,,,,,,
P,162-87253,,,,,,,,,1,,,,,,,
P,162-87254,,,,,,,,,1,,,,,,,
P,162-87255,,,,,,,,,1,,,,,,,
P,162-87256,,,,,,,,,1,,,,,,,
P,162-87257,,,,,,,,,1,,,,,,,
P,162-87258,,,,,,,,,1,,,,,,,
P,162-87259,,,,,,,,,1,,,,,,,
P,162-87260,,,,,,,,,1,,,,,,,
P,162-87261,,,,,,,,,1,,,,,,,
P,162-87262,,,,,,,,,1,,,,,,,
P,162-87263,,,,,,,,,1,,,,,,,
P,162-87264,,,,,,,,,1,,,,,,,
P,162-87265,,,,,,,,,1,,,,,,,
P,162-87266,,,,,,,,,1,,,,,,,
P,162-87267,,,,,,,,,1,,,,,,,
P,162-87268,,,,,,,,,1,,,,,,,
P,162-87269,,,,,,,,,1,,,,,,,
P,162-87270,,,,,,,,,1,,,,,,,
P,162-87271,,,,,,,,,1,,,,,,,
